fixture_id,season,round,date,status_type,home_team,away_team,home_goals,away_goals,group,fifa_home_rank,fifa_home_points,fifa_away_rank,fifa_away_points,fifa_rank_diff,fifa_points_diff,rolling_points_home,rolling_points_away,rolling_gd_home,rolling_gd_away,rest_days_home,rest_days_away,elo_home,elo_away,elo_diff,result
7697183,18/19,1,2018-09-06 18:45:00+00:00,finished,Gibraltar,North Macedonia,0.0,2.0,"UEFA Nations League, League D, Gr. 4",202.0,820.260818,69.0,1369.159317,-133.0,-548.8984990000001,,,,,,,1500.0,1500.0,0.0,A
7697203,18/19,2,2018-09-11 18:45:00+00:00,finished,Bosnia & Herzegovina,Austria,1.0,0.0,"UEFA Nations League, League B, Gr. 3",61.0,1408.930486,23.0,1598.822839,-38.0,-189.89235299999996,3.0,,1.0,,3.0,,1511.8493246116866,1500.0,11.849324611686598,H
7697220,18/19,3,2018-10-12 18:45:00+00:00,finished,Croatia,England,0.0,0.0,"UEFA Nations League, League A, Gr. 4",13.0,1723.050142,4.0,1922.831632,-9.0,-199.78148999999985,0.0,0.0,-6.0,-1.0,31.0,34.0,1483.3751073717904,1488.1506753883134,-4.775568016523039,D
7697195,18/19,1,2018-09-06 18:45:00+00:00,finished,Latvia,Andorra,0.0,0.0,"UEFA Nations League, League D, Gr. 1",137.0,1085.660758,172.0,946.429826,35.0,139.23093199999994,,,,,,,1500.0,1500.0,0.0,D
7697178,18/19,2,2018-09-09 16:00:00+00:00,finished,Denmark,Wales,2.0,0.0,"UEFA Nations League, League B, Gr. 4",21.0,1619.474248,38.0,1516.946629,17.0,102.52761899999996,,3.0,,3.0,,2.0,1500.0,1514.2636819295483,-14.263681929548284,H
7697173,18/19,1,2018-09-06 18:45:00+00:00,finished,Czechia,Ukraine,1.0,2.0,"UEFA Nations League, League B, Gr. 1",48.0,1467.260216,33.0,1549.287173,-15.0,-82.02695700000004,,,,,,,1500.0,1500.0,0.0,A
7697185,18/19,2,2018-09-09 16:00:00+00:00,finished,North Macedonia,Armenia,2.0,0.0,"UEFA Nations League, League D, Gr. 4",69.0,1369.159317,107.0,1189.632762,38.0,179.52655500000014,3.0,3.0,2.0,1.0,2.0,3.0,1517.77398691753,1508.1506753883134,9.623311529216608,H
7697299,18/19,5,2018-11-15 19:45:00+00:00,finished,Austria,Bosnia & Herzegovina,0.0,0.0,"UEFA Nations League, League B, Gr. 3",23.0,1598.822839,61.0,1408.930486,38.0,189.89235299999996,1.5,3.0,0.0,1.3333333333333333,34.0,31.0,1500.2155304970224,1530.2900615018596,-30.074531004837127,D
7697256,18/19,3,2018-10-12 18:45:00+00:00,finished,Moldova,San Marino,2.0,0.0,"UEFA Nations League, League D, Gr. 2",159.0,1008.240035,211.0,721.201827,52.0,287.03820800000005,0.5,0.0,-2.0,-4.0,31.0,31.0,1483.7586447774956,1464.5206812018941,19.237963575601498,H
7697267,18/19,4,2018-10-15 18:45:00+00:00,finished,Iceland,Switzerland,1.0,2.0,"UEFA Nations League, League A, Gr. 2",74.0,1342.771961,14.0,1710.884769,-60.0,-368.1128080000001,0.0,1.5,-4.5,2.5,34.0,3.0,1462.7931915590893,1509.2407529308362,-46.447561371746815,A
7697257,18/19,6,2018-11-20 19:45:00+00:00,finished,Portugal,Poland,1.0,1.0,"UEFA Nations League, League A, Gr. 3",7.0,1787.854725,36.0,1526.183359,29.0,261.6713659999998,2.3333333333333335,0.3333333333333333,0.6666666666666666,-0.6666666666666666,3.0,37.0,1521.122589238009,1478.3215562083456,42.80103302966336,D
7697265,18/19,4,2018-10-16 18:45:00+00:00,finished,France,Germany,2.0,1.0,"UEFA Nations League, League A, Gr. 1",3.0,1948.970817,12.0,1726.218839,9.0,222.751978,2.0,0.5,0.5,-1.5,37.0,3.0,1509.9486435899125,1483.581971740189,26.366671849723616,H
7697304,18/19,6,2018-11-18 19:45:00+00:00,finished,Switzerland,Belgium,5.0,2.0,"UEFA Nations League, League A, Gr. 2",14.0,1710.884769,8.0,1778.355242,-6.0,-67.47047300000008,2.0,3.0,2.0,2.0,34.0,3.0,1519.7742280901673,1537.202957069536,-17.42872897936877,H
7697293,18/19,5,2018-11-16 19:45:00+00:00,finished,Slovenia,Norway,1.0,1.0,"UEFA Nations League, League C, Gr. 3",56.0,1441.087158,19.0,1651.286867,-37.0,-210.19970899999998,0.25,2.25,-0.75,0.75,31.0,31.0,1471.095995383761,1520.1532133555224,-49.057217971761474,D
7697273,18/19,4,2018-10-15 18:45:00+00:00,finished,Belarus,Moldova,0.0,0.0,"UEFA Nations League, League D, Gr. 2",96.0,1242.876029,159.0,1008.240035,63.0,234.63599399999998,2.3333333333333335,1.3333333333333333,2.0,-0.6666666666666666,3.0,3.0,1525.8930185517245,1495.1914268614692,30.701591690255327,D
7697232,18/19,3,2018-10-12 18:45:00+00:00,finished,Greece,Hungary,1.0,0.0,"UEFA Nations League, League C, Gr. 2",46.0,1473.187305,39.0,1506.393663,-7.0,-33.20635800000014,1.5,1.5,0.0,0.0,31.0,31.0,1503.137334416495,1500.5613148068783,2.576019609616651,H
7697249,18/19,6,2018-11-20 19:45:00+00:00,finished,Sweden,Russia,2.0,0.0,"UEFA Nations League, League B, Gr. 2",37.0,1525.578992,35.0,1529.602834,-2.0,-4.023842000000059,1.3333333333333333,2.3333333333333335,0.0,1.0,3.0,37.0,1502.128884234501,1521.1936181042267,-19.064733869725842,H
7697297,18/19,5,2018-11-16 19:45:00+00:00,finished,Wales,Denmark,1.0,2.0,"UEFA Nations League, League B, Gr. 4",38.0,1516.946629,21.0,1619.474248,-17.0,-102.52761899999996,2.0,2.0,0.6666666666666666,1.0,31.0,34.0,1512.8174847758874,1513.911841853923,-1.0943570780357277,A
7697243,18/19,3,2018-10-13 16:00:00+00:00,finished,Latvia,Kazakhstan,1.0,1.0,"UEFA Nations League, League D, Gr. 1",137.0,1085.660758,111.0,1180.780449,-26.0,-95.1196910000001,0.5,0.5,-0.5,-1.0,34.0,32.0,1490.5392818363036,1484.6146195304602,5.9246623058434125,D
7697286,18/19,5,2018-11-15 15:00:00+00:00,finished,Kazakhstan,Latvia,1.0,1.0,"UEFA Nations League, League D, Gr. 1",111.0,1180.780449,137.0,1085.660758,26.0,95.1196910000001,1.25,0.5,0.5,-1.0,30.0,29.0,1501.9007515452795,1470.2647761878036,31.6359753574759,D
7697266,18/19,4,2018-10-16 18:45:00+00:00,finished,Ukraine,Czechia,1.0,0.0,"UEFA Nations League, League B, Gr. 1",33.0,1549.287173,48.0,1467.260216,15.0,82.02695700000004,3.0,1.5,1.0,0.0,37.0,3.0,1519.67280349555,1500.1116660074276,19.561137488122313,H
7697296,18/19,5,2018-11-17 17:00:00+00:00,finished,Türkiye,Sweden,0.0,1.0,"UEFA Nations League, League B, Gr. 2",27.0,1582.54473,37.0,1525.578992,10.0,56.9657380000001,1.0,0.5,-0.6666666666666666,-0.5,34.0,36.0,1488.4751780144259,1490.3312038813474,-1.8560258669215273,A
7697250,18/19,6,2018-11-19 19:45:00+00:00,finished,Czechia,Slovakia,1.0,0.0,"UEFA Nations League, League B, Gr. 1",48.0,1467.260216,45.0,1473.660727,-3.0,-6.400511000000051,1.0,1.0,-0.3333333333333333,0.3333333333333333,34.0,3.0,1492.498584970143,1496.8132321241883,-4.31464715404536,H
7697218,18/19,4,2018-10-14 18:45:00+00:00,finished,Poland,Italy,0.0,1.0,"UEFA Nations League, League A, Gr. 3",36.0,1526.183359,15.0,1704.733836,-21.0,-178.550477,0.5,0.5,-0.5,-0.5,3.0,34.0,1490.1742981249006,1490.0513564100875,0.12294171481312333,A
7697260,18/19,3,2018-10-13 18:45:00+00:00,finished,North Macedonia,Liechtenstein,4.0,1.0,"UEFA Nations League, League D, Gr. 4",69.0,1369.159317,206.0,797.701009,137.0,571.4583080000001,3.0,1.5,2.0,0.5,34.0,34.0,1529.6008838293706,1503.6762215235271,25.924662305843412,H
7697238,18/19,3,2018-10-13 16:00:00+00:00,finished,Norway,Slovenia,1.0,0.0,"UEFA Nations League, League C, Gr. 3",19.0,1651.286867,56.0,1441.087158,37.0,210.19970899999998,1.5,0.0,0.5,-1.0,34.0,33.0,1504.0648644280109,1479.9895267338543,24.075337694156588,H
7697271,18/19,5,2018-11-17 17:00:00+00:00,finished,Azerbaijan,Faroe Islands,2.0,0.0,"UEFA Nations League, League D, Gr. 3",126.0,1131.995112,123.0,1136.585036,-3.0,-4.589923999999883,1.5,1.0,0.75,-0.75,34.0,34.0,1517.3673712898826,1478.3107247119854,39.056646577897254,H
7697278,18/19,4,2018-10-16 18:45:00+00:00,finished,Norway,Bulgaria,1.0,0.0,"UEFA Nations League, League C, Gr. 3",19.0,1651.286867,85.0,1271.683325,66.0,379.60354200000006,2.0,3.0,0.6666666666666666,1.0,3.0,3.0,1511.5558045668133,1527.5014134049482,-15.94560883813483,H
7697301,18/19,6,2018-11-18 14:00:00+00:00,finished,England,Croatia,2.0,1.0,"UEFA Nations League, League A, Gr. 4",4.0,1922.831632,13.0,1723.050142,9.0,199.78148999999985,1.3333333333333333,1.3333333333333333,0.0,-1.6666666666666667,33.0,2.0,1502.7636170015503,1490.7666495488584,11.996967452691933,H
