fixture_id,season,round,date,status_type,home_team,away_team,home_goals,away_goals,group
10225887,22/23,6,2022-09-25 16:00:00+00:00,finished,Azerbaijan,Kazakhstan,3.0,0.0,"UEFA Nations League, League C, Gr. 3"
10023400,22/23,6,2022-09-25 16:00:00+00:00,finished,Slovakia,Belarus,1.0,1.0,"UEFA Nations League, League C, Gr. 3"
10023348,22/23,6,2022-09-25 18:45:00+00:00,finished,Luxembourg,Lithuania,1.0,0.0,"UEFA Nations League, League C, Gr. 1"
10023330,22/23,6,2022-09-25 18:45:00+00:00,finished,Faroe Islands,Türkiye,2.0,1.0,"UEFA Nations League, League C, Gr. 1"
10023410,22/23,6,2022-09-25 18:45:00+00:00,finished,Denmark,France,2.0,0.0,"UEFA Nations League, League A, Gr. 1"
10023357,22/23,6,2022-09-25 18:45:00+00:00,finished,Wales,Poland,0.0,1.0,"UEFA Nations League, League A, Gr. 4"
10023378,22/23,6,2022-09-25 18:45:00+00:00,finished,Netherlands,Belgium,1.0,0.0,"UEFA Nations League, League A, Gr. 4"
10023332,22/23,6,2022-09-25 18:45:00+00:00,finished,Austria,Croatia,1.0,3.0,"UEFA Nations League, League A, Gr. 1"
10023328,22/23,6,2022-09-26 18:45:00+00:00,finished,Hungary,Italy,0.0,2.0,"UEFA Nations League, League A, Gr. 3"
10023409,22/23,6,2022-09-26 18:45:00+00:00,finished,Montenegro,Finland,0.0,2.0,"UEFA Nations League, League B, Gr. 3"
10023376,22/23,6,2022-09-26 18:45:00+00:00,finished,Romania,Bosnia & Herzegovina,4.0,1.0,"UEFA Nations League, League B, Gr. 3"
10023416,22/23,6,2022-09-26 18:45:00+00:00,finished,Gibraltar,Georgia,1.0,2.0,"UEFA Nations League, League C, Gr. 4"
10023448,22/23,6,2022-09-26 18:45:00+00:00,finished,North Macedonia,Bulgaria,0.0,1.0,"UEFA Nations League, League C, Gr. 4"
