team,country_code,rank,points,previous_rank,fetched_at,snapshot_date
Kyrgyzstan,KGZ,106,1192.157969,106,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Armenia,ARM,107,1189.632762,107,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Comoros,COM,108,1187.9109,108,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Kenya,KEN,109,1185.076631,109,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Libya,LBY,110,1182.081264,110,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Kazakhstan,KAZ,111,1180.780449,111,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Tanzania,TZA,112,1180.267847,112,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Mauritania,MRT,113,1176.680994,113,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Niger,NER,114,1175.332063,114,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Lebanon,LBN,115,1172.215162,115,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Gambia,GMB,116,1159.637808,116,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Sudan,SDN,117,1157.223901,117,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Indonesia,IDN,118,1157.142651,118,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Togo,TGO,119,1152.757527,119,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
North Korea,PRK,120,1151.052136,120,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Namibia,NAM,121,1148.839695,121,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Sierra Leone,SLE,122,1147.560535,122,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Faroe Islands,FRO,123,1136.585036,123,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Cyprus,CYP,124,1133.247165,124,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Suriname,SUR,125,1132.425895,125,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
